;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;12892.575;303481820.0;304341000.0;4005;33;10979.838;210792660.0;216416370.0;91;4
1;12707.981;298070270.0;299527840.0;4005;33;10976.886;210717980.0;216340750.0;91;4
2;12497.294;292021060.0;294015230.0;4005;33;10965.965;210438640.0;216057870.0;91;4
3;12197.722;283562340.0;286195040.0;4005;33;10938.013;209725000.0;215335280.0;91;4
4;11794.462;272198080.0;275544480.0;4005;33;10880.369;208259870.0;213851890.0;91;4
