;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;13351.403;331197540.0;329555260.0;4005;33;12659.901;323395620.0;327698020.0;91;4
1;13058.5205;322152200.0;321749300.0;4005;33;12657.234;323317800.0;327619900.0;91;4
2;12683.532;310838940.0;311660860.0;4005;33;12643.23;322898050.0;327197860.0;91;4
3;12167.934;295510080.0;297696300.0;4005;33;12601.101;321635840.0;325928160.0;91;4
4;11509.558;275558700.0;279141860.0;4005;33;12506.224;318802270.0;323077500.0;91;4
