;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;12939.434;304899260.0;305556540.0;4005;33;10979.987;210795150.0;216418800.0;91;4
1;12870.142;302834370.0;303720030.0;4005;33;10978.567;210760940.0;216384260.0;91;4
2;12782.407;300261060.0;301390370.0;4005;33;10974.154;210649810.0;216271790.0;91;4
3;12659.268;296682200.0;298102430.0;4005;33;10963.145;210370880.0;215989620.0;91;4
4;12491.967;291888640.0;293645440.0;4005;33;10940.444;209794880.0;215406820.0;91;4
