;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;13813.172;345758370.0;346760640.0;4005;33;11483.662;241785020.0;244144350.0;91;4
1;13532.328;337018100.0;339104960.0;4005;33;11480.995;241713680.0;244072720.0;91;4
2;13134.101;324859840.0;328139000.0;4005;33;11467.506;241348770.0;243705760.0;91;4
3;12607.091;308810720.0;313326140.0;4005;33;11427.263;240264400.0;242614640.0;91;4
4;11938.151;288047330.0;293758080.0;4005;33;11336.234;237825300.0;240159680.0;91;4
