;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6231.4717;91946250.0;92436020.0;48150;379;14304.002;371886900.0;369812260.0;108;4
1;5915.885;83046760.0;83473144.0;48150;379;14301.587;371809660.0;369735420.0;108;4
2;5757.7876;78674040.0;79068730.0;48150;379;14292.461;371502000.0;369429280.0;108;4
3;5601.212;74619470.0;74986104.0;48150;379;14271.482;370766000.0;368696670.0;108;4
4;5457.415;70909410.0;71250130.0;48150;379;14232.574;369364130.0;367301220.0;108;4
5;5307.8535;67205500.0;67520420.0;48150;379;14169.016;367025180.0;364972860.0;108;4
6;5170.7773;63764316.0;64055176.0;48150;379;14073.631;363458050.0;361422000.0;108;4
7;5037.48;60471800.0;60739716.0;48150;379;13938.3125;358349820.0;356337280.0;108;4
8;4909.227;57352736.0;57598972.0;48150;379;13753.545;351369060.0;349389470.0;108;4
9;4780.535;54292436.0;54518940.0;48150;379;13508.527;342156100.0;340221150.0;108;4
10;4650.9824;51290576.0;51498724.0;48150;379;13193.911;330436320.0;328559000.0;108;4
11;4525.3716;48468444.0;48659812.0;48150;379;12802.08;316045500.0;314238430.0;108;4
12;4398.695;45692892.0;45870584.0;48150;379;12327.345;298977060.0;297253660.0;108;4
13;4277.269;43051904.0;43216110.0;48150;379;11770.84;279516200.0;277887780.0;108;4
14;4156.084;40575876.0;40728332.0;48150;379;11145.908;258213800.0;256688980.0;108;4
15;4036.249;38252970.0;38396090.0;48150;379;10466.303;235750980.0;234335120.0;108;4
16;3911.0608;36026280.0;36161390.0;48150;379;9746.017;212838080.0;211532110.0;108;4
17;3788.859;33931360.0;34059680.0;48150;379;9006.98;190330110.0;189130940.0;108;4
18;3668.9148;32025084.0;32146550.0;48150;379;8280.553;168701760.0;167603280.0;108;4
19;3546.6125;30218316.0;30333806.0;48150;379;7582.7393;148114690.0;147105460.0;108;4
20;3422.2068;28548568.0;28658220.0;48150;379;6926.2275;128956190.0;128027230.0;108;4
21;3307.998;27127778.0;27228502.0;48150;379;6329.143;111264760.0;110408770.0;108;4
22;3208.816;25932856.0;26026930.0;48150;379;5820.213;95173010.0;94381864.0;108;4
23;3080.6958;24569196.0;24653268.0;48150;379;5369.8076;80914120.0;80178590.0;108;4
24;2937.188;23027594.0;23102514.0;48150;379;5020.6885;68575160.0;67891224.0;108;4
25;2888.7039;22579068.0;22649754.0;48150;379;4861.426;58400684.0;57768184.0;108;4
26;2864.9692;22329206.0;22395628.0;48150;379;4866.936;50795160.0;50212910.0;108;4
27;2840.1694;22187664.0;22256058.0;48150;379;4923.843;45860396.0;45330636.0;108;4
28;2811.0562;21868236.0;21934122.0;48150;379;5032.522;43276670.0;42797816.0;108;4
29;2795.8179;21564794.0;21626576.0;48150;379;5211.8115;42513284.0;42085420.0;108;4
30;2769.231;21339944.0;21400230.0;48150;379;5400.094;42797144.0;42414670.0;108;4
31;2765.6726;21379590.0;21441362.0;48150;379;5566.788;43423180.0;43085696.0;108;4
32;2754.3298;21341510.0;21403364.0;48150;379;5655.274;43846970.0;43546412.0;108;4
33;2736.1116;21238400.0;21299582.0;48150;379;5663.5264;43856924.0;43576290.0;108;4
34;2711.74;21081316.0;21141076.0;48150;379;5606.076;43406772.0;43131290.0;108;4
35;2685.51;20883474.0;20942124.0;48150;379;5492.0947;42481836.0;42199484.0;108;4
36;2660.0566;20689760.0;20747056.0;48150;379;5346.707;41318670.0;41022870.0;108;4
37;2635.3044;20480516.0;20537216.0;48150;379;5181.6016;40079876.0;39770708.0;108;4
38;2617.4805;20313998.0;20368126.0;48150;379;5029.884;38987024.0;38670610.0;108;4
39;2593.5195;20122868.0;20175964.0;48150;379;4894.4214;38071650.0;37750304.0;108;4
40;2576.4802;19957198.0;20009612.0;48150;379;4786.33;37349560.0;37024396.0;108;4
41;2564.819;19834898.0;19886348.0;48150;379;4692.9463;36794604.0;36467800.0;108;4
42;2562.0603;19844710.0;19896698.0;48150;379;4609.056;36406756.0;36081310.0;108;4
43;2554.4739;19765230.0;19817466.0;48150;379;4534.625;36198570.0;35872708.0;108;4
44;2552.0059;19747394.0;19800672.0;48150;379;4464.9106;36119190.0;35792096.0;108;4
45;2564.1597;19958844.0;20012970.0;48150;379;4387.8438;36125680.0;35795030.0;108;4
46;2563.302;19992380.0;20047844.0;48150;379;4305.317;36221456.0;35886612.0;108;4
47;2561.9321;19987218.0;20042316.0;48150;379;4220.14;36388868.0;36045496.0;108;4
48;2542.7446;19768818.0;19823188.0;48150;379;4127.0977;36589850.0;36236704.0;108;4
49;2542.3208;19805508.0;19861834.0;48150;379;4035.6987;36854920.0;36490624.0;108;4
