;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6032.132;87763020.0;88103096.0;48100;378;14477.138;348738900.0;354859680.0;108;4
1;5738.1157;79673280.0;79971976.0;48100;378;14474.73;348661540.0;354781820.0;108;4
2;5574.184;75307440.0;75580460.0;48100;378;14465.97;348361060.0;354478820.0;108;4
3;5423.3545;71389740.0;71639864.0;48100;378;14445.75;347637250.0;353748160.0;108;4
4;5288.5376;67869450.0;68100020.0;48100;378;14407.691;346232480.0;352329120.0;108;4
5;5155.217;64483104.0;64695410.0;48100;378;14343.971;343833020.0;349904260.0;108;4
6;5021.151;61165740.0;61361020.0;48100;378;14244.961;340070200.0;346100300.0;108;4
7;4886.089;57902252.0;58080788.0;48100;378;14099.885;334554600.0;340523140.0;108;4
8;4762.1333;54881040.0;55043940.0;48100;378;13896.422;326876800.0;332756770.0;108;4
9;4640.2837;51970540.0;52120590.0;48100;378;13622.766;316698720.0;322457730.0;108;4
10;4513.0127;49016236.0;49160612.0;48100;378;13267.374;303734850.0;309335000.0;108;4
11;4386.9365;46179516.0;46319028.0;48100;378;12819.734;287800500.0;293196500.0;108;4
12;4266.1846;43533812.0;43668508.0;48100;378;12274.555;269012350.0;274156000.0;108;4
13;4144.3696;40960090.0;41091204.0;48100;378;11634.703;247811890.0;252655340.0;108;4
14;4019.2312;38478296.0;38604700.0;48100;378;10913.492;224968160.0;229467740.0;108;4
15;3894.3042;36162690.0;36284972.0;48100;378;10129.553;201352580.0;205472940.0;108;4
16;3769.5588;33985348.0;34108170.0;48100;378;9307.299;177795200.0;181507870.0;108;4
17;3648.1057;31997316.0;32120404.0;48100;378;8466.852;155065570.0;158352020.0;108;4
18;3525.9934;30139742.0;30259634.0;48100;378;7648.99;133743940.0;136595260.0;108;4
19;3403.011;28391896.0;28509032.0;48100;378;6882.1646;114235250.0;116650430.0;108;4
20;3283.1885;26765556.0;26877974.0;48100;378;6150.488;96758320.0;98746940.0;108;4
21;3169.029;25266632.0;25374660.0;48100;378;5510.6094;81476140.0;83054060.0;108;4
22;3068.417;24000242.0;24102272.0;48100;378;4966.881;68346340.0;69538210.0;108;4
23;2968.8796;22853664.0;22949776.0;48100;378;4506.4175;57182570.0;58020464.0;108;4
24;2872.9944;21845376.0;21935074.0;48100;378;4247.1685;47956410.0;48481224.0;108;4
25;2821.1873;21236770.0;21323098.0;48100;378;4114.623;40642216.0;40896144.0;108;4
26;2792.4517;21069028.0;21154768.0;48100;378;4101.807;35421110.0;35457000.0;108;4
27;2746.1697;20474214.0;20557296.0;48100;378;4161.1855;32426772.0;32304592.0;108;4
28;2684.5496;19910900.0;19991222.0;48100;378;4287.1514;31517430.0;31296592.0;108;4
29;2683.2222;19861310.0;19939478.0;48100;378;4567.127;32531680.0;32267696.0;108;4
30;2689.3157;19915614.0;19993736.0;48100;378;4957.276;34891388.0;34634400.0;108;4
31;2689.5178;19977354.0;20055662.0;48100;378;5295.0635;37622320.0;37409628.0;108;4
32;2683.5576;19980574.0;20059542.0;48100;378;5534.5483;39925460.0;39779460.0;108;4
33;2671.3677;19937400.0;20017120.0;48100;378;5657.3506;41215480.0;41145540.0;108;4
34;2648.865;19798844.0;19878226.0;48100;378;5680.673;41375844.0;41377904.0;108;4
35;2623.182;19610924.0;19689516.0;48100;378;5592.335;40414668.0;40476804.0;108;4
36;2599.0117;19420998.0;19498330.0;48100;378;5412.9736;38628684.0;38739716.0;108;4
37;2572.7576;19194230.0;19269904.0;48100;378;5171.156;36441890.0;36590110.0;108;4
38;2553.2156;19001266.0;19075968.0;48100;378;4921.448;34354270.0;34532636.0;108;4
39;2533.037;18847274.0;18921126.0;48100;378;4681.204;32554360.0;32756828.0;108;4
40;2523.8135;18714708.0;18787380.0;48100;378;4467.16;31196140.0;31431442.0;108;4
41;2520.6904;18707860.0;18781760.0;48100;378;4282.1367;30217028.0;30491758.0;108;4
42;2506.5764;18556880.0;18628974.0;48100;378;4134.1914;29561854.0;29874138.0;108;4
43;2487.608;18377106.0;18448056.0;48100;378;4015.2683;29156776.0;29501986.0;108;4
44;2492.4607;18473578.0;18546938.0;48100;378;3919.367;28875256.0;29257426.0;108;4
45;2490.1855;18439716.0;18512326.0;48100;378;3840.3806;28731878.0;29151278.0;108;4
46;2492.2217;18393266.0;18465502.0;48100;378;3765.8203;28676332.0;29137818.0;108;4
47;2495.7053;18421334.0;18493648.0;48100;378;3698.9854;28644630.0;29149072.0;108;4
48;2492.1135;18472676.0;18545584.0;48100;378;3626.0422;28631048.0;29174366.0;108;4
49;2487.0598;18415500.0;18488122.0;48100;378;3545.1453;28657808.0;29233702.0;108;4
