;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6216.534;89292424.0;89577090.0;48150;378;13948.682;383974800.0;390982430.0;108;4
1;5938.821;81520710.0;81767650.0;48150;378;13946.334;383898500.0;390905300.0;108;4
2;5775.534;76955840.0;77180424.0;48150;378;13935.763;383538430.0;390541150.0;108;4
3;5638.2065;73252300.0;73459224.0;48150;378;13908.738;382589820.0;389580770.0;108;4
4;5506.1895;69834424.0;70025280.0;48150;378;13856.885;380721020.0;387687230.0;108;4
5;5373.2095;66550550.0;66725840.0;48150;378;13773.028;377618180.0;384540800.0;108;4
6;5236.9263;63319236.0;63479870.0;48150;378;13651.104;372996200.0;379850100.0;108;4
7;5100.865;60173870.0;60320908.0;48150;378;13485.651;366596160.0;373349800.0;108;4
8;4973.1377;57255600.0;57390280.0;48150;378;13272.002;358182750.0;364797380.0;108;4
9;4849.359;54505504.0;54628870.0;48150;378;13005.259;347541700.0;353972640.0;108;4
10;4728.2744;51859360.0;51972270.0;48150;378;12680.353;334494530.0;340689500.0;108;4
11;4614.884;49442424.0;49545850.0;48150;378;12291.65;318911230.0;324814000.0;108;4
12;4502.0303;47097484.0;47192068.0;48150;378;11831.31;300677060.0;306227780.0;108;4
13;4389.393;44793044.0;44879110.0;48150;378;11300.08;279928000.0;285068320.0;108;4
14;4279.984;42626456.0;42704416.0;48150;378;10691.73;256964670.0;261642110.0;108;4
15;4174.1943;40630850.0;40701616.0;48150;378;10009.785;232296030.0;236464930.0;108;4
16;4070.7573;38766096.0;38832340.0;48150;378;9260.93;206575570.0;210201970.0;108;4
17;3966.835;36996252.0;37059692.0;48150;378;8475.783;180559200.0;183625150.0;108;4
18;3855.3843;35227090.0;35287180.0;48150;378;7672.884;155024300.0;157526220.0;108;4
19;3729.8193;33362934.0;33421820.0;48150;378;6873.743;130695730.0;132645060.0;108;4
20;3593.5784;31503786.0;31559668.0;48150;378;6097.58;108342360.0;109769670.0;108;4
21;3473.6958;29947616.0;30000856.0;48150;378;5474.6855;88491180.0;89443110.0;108;4
22;3369.0674;28669914.0;28720628.0;48150;378;4964.2383;71596630.0;72133864.0;108;4
23;3221.4746;26926316.0;26970202.0;48150;378;4628.7026;57794584.0;57989284.0;108;4
24;3171.0637;26323794.0;26366212.0;48150;378;4486.8267;47036464.0;46970332.0;108;4
25;3115.9888;25688428.0;25728462.0;48150;378;4414.437;39566470.0;39327480.0;108;4
26;3003.2983;24439538.0;24475108.0;48150;378;4386.718;35378680.0;35056664.0;108;4
27;2976.2852;24190206.0;24224198.0;48150;378;4439.459;34268080.0;33948160.0;108;4
28;3001.9553;24522938.0;24557410.0;48150;378;4747.925;35777124.0;35534140.0;108;4
29;3005.9658;24580546.0;24616354.0;48150;378;5162.8584;38899100.0;38781400.0;108;4
30;2998.5637;24517854.0;24554128.0;48150;378;5493.1157;42483660.0;42514790.0;108;4
31;2985.0874;24401124.0;24436732.0;48150;378;5735.0967;45640230.0;45826020.0;108;4
32;2965.575;24218392.0;24253966.0;48150;378;5853.2324;47868296.0;48199536.0;108;4
33;2941.0986;24011380.0;24046180.0;48150;378;5869.6577;49146896.0;49607736.0;108;4
34;2912.0337;23752872.0;23786370.0;48150;378;5802.51;49524784.0;50095268.0;108;4
35;2883.669;23478022.0;23509858.0;48150;378;5676.5996;49278812.0;49932364.0;108;4
36;2856.194;23175094.0;23204906.0;48150;378;5509.918;48618370.0;49335532.0;108;4
37;2833.2368;22930876.0;22960466.0;48150;378;5324.402;47744840.0;48509780.0;108;4
38;2813.614;22734250.0;22762776.0;48150;378;5137.304;46794510.0;47603132.0;108;4
39;2793.752;22509348.0;22536768.0;48150;378;4969.634;45943730.0;46795264.0;108;4
40;2778.712;22329780.0;22356390.0;48150;378;4840.624;45349276.0;46257200.0;108;4
41;2768.3752;22184248.0;22210996.0;48150;378;4735.836;44934840.0;45904964.0;108;4
42;2763.886;22116660.0;22143704.0;48150;378;4650.943;44651084.0;45682590.0;108;4
43;2759.4788;22031812.0;22058614.0;48150;378;4596.8154;44475350.0;45568024.0;108;4
44;2755.5374;21971332.0;21997474.0;48150;378;4562.8643;44414956.0;45568624.0;108;4
45;2748.5474;21912468.0;21937860.0;48150;378;4533.773;44431324.0;45646172.0;108;4
46;2742.5818;21834614.0;21859990.0;48150;378;4501.6113;44432104.0;45702984.0;108;4
47;2734.0054;21705924.0;21730970.0;48150;378;4465.8696;44456970.0;45777116.0;108;4
48;2740.255;21749098.0;21774086.0;48150;378;4412.634;44425184.0;45782880.0;108;4
49;2733.067;21680022.0;21705348.0;48150;378;4337.161;44277916.0;45655524.0;108;4
