;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6196.008;88897130.0;89266870.0;48100;378;14670.039;385528220.0;390201200.0;108;4
1;5917.3306;81107790.0;81430960.0;48100;378;14667.61;385447000.0;390119400.0;108;4
2;5751.901;76737100.0;77032800.0;48100;378;14657.684;385099300.0;389769200.0;108;4
3;5609.423;73058296.0;73331560.0;48100;378;14634.002;384238340.0;388902300.0;108;4
4;5467.985;69531960.0;69781840.0;48100;378;14589.395;382570080.0;387222700.0;108;4
5;5331.022;66159580.0;66386916.0;48100;378;14516.027;379768960.0;384402080.0;108;4
6;5197.308;62952750.0;63156560.0;48100;378;14405.901;375493400.0;380095300.0;108;4
7;5070.4854;59910024.0;60092796.0;48100;378;14251.287;369415940.0;373969950.0;108;4
8;4949.0503;57044932.0;57207870.0;48100;378;14043.246;361179330.0;365663500.0;108;4
9;4830.5156;54272172.0;54418000.0;48100;378;13770.9795;350387070.0;354773400.0;108;4
10;4715.166;51588430.0;51718100.0;48100;378;13422.48;336698020.0;340951420.0;108;4
11;4603.6514;49079164.0;49194170.0;48100;378;12985.994;319860320.0;323942050.0;108;4
12;4495.6553;46728624.0;46832172.0;48100;378;12453.949;299906940.0;303774530.0;108;4
13;4386.776;44411980.0;44506084.0;48100;378;11824.198;277083330.0;280695230.0;108;4
14;4274.2783;42159944.0;42242324.0;48100;378;11107.333;252036350.0;255357840.0;108;4
15;4163.5796;40029410.0;40100610.0;48100;378;10314.443;225631890.0;228635710.0;108;4
16;4050.7954;37969090.0;38036256.0;48100;378;9467.814;198792370.0;201461550.0;108;4
17;3941.0444;36061244.0;36124892.0;48100;378;8593.121;172462380.0;174790860.0;108;4
18;3831.4863;34326190.0;34385716.0;48100;378;7735.484;147374160.0;149366260.0;108;4
19;3719.2605;32707238.0;32769276.0;48100;378;6917.7656;124114136.0;125783384.0;108;4
20;3606.711;31174320.0;31237300.0;48100;378;6170.553;103157180.0;104525010.0;108;4
21;3493.0647;29694014.0;29748036.0;48100;378;5498.369;84618480.0;85712456.0;108;4
22;3384.9348;28395918.0;28445120.0;48100;378;4858.477;68659900.0;69514050.0;108;4
23;3271.1782;27098134.0;27153284.0;48100;378;4373.047;55280156.0;55932620.0;108;4
24;3162.4028;25902570.0;25959470.0;48100;378;4196.94;44673204.0;45165190.0;108;4
25;3165.129;25939492.0;25993268.0;48100;378;4159.3906;37054480.0;37430670.0;108;4
26;3069.566;24959968.0;25006434.0;48100;378;4186.041;32668694.0;32974452.0;108;4
27;3040.6443;24791118.0;24834312.0;48100;378;4279.565;31238442.0;31515332.0;108;4
28;2991.1626;24245784.0;24295634.0;48100;378;4493.7383;32310244.0;32587088.0;108;4
29;2995.5352;24287308.0;24337038.0;48100;378;4941.7334;35294264.0;35594164.0;108;4
30;2995.7957;24346724.0;24398248.0;48100;378;5329.883;39210290.0;39546124.0;108;4
31;2988.6792;24328100.0;24378924.0;48100;378;5622.9497;42918764.0;43290736.0;108;4
32;2977.0852;24256924.0;24307310.0;48100;378;5784.553;45497330.0;45901520.0;108;4
33;2955.9092;24088120.0;24137696.0;48100;378;5817.8247;46665640.0;47092116.0;108;4
34;2931.0972;23871174.0;23920270.0;48100;378;5733.7754;46407324.0;46848160.0;108;4
35;2903.4812;23618130.0;23667684.0;48100;378;5566.0225;45073116.0;45517264.0;108;4
36;2877.8496;23376810.0;23424788.0;48100;378;5347.6636;43093348.0;43529468.0;108;4
37;2855.5916;23174970.0;23222160.0;48100;378;5116.1514;40813764.0;41232284.0;108;4
38;2838.9854;23017676.0;23063462.0;48100;378;4898.51;38587252.0;38985724.0;108;4
39;2826.717;22908590.0;22954002.0;48100;378;4712.551;36593960.0;36972244.0;108;4
40;2817.0886;22809506.0;22854246.0;48100;378;4570.5425;34941090.0;35298684.0;108;4
41;2812.167;22760492.0;22805406.0;48100;378;4465.6514;33526672.0;33865950.0;108;4
42;2802.699;22633854.0;22676920.0;48100;378;4382.548;32252652.0;32575772.0;108;4
43;2786.879;22467334.0;22511184.0;48100;378;4313.5527;31078556.0;31386742.0;108;4
44;2784.414;22420810.0;22464360.0;48100;378;4244.526;29961768.0;30253526.0;108;4
45;2776.2222;22309152.0;22352710.0;48100;378;4171.862;28911452.0;29185840.0;108;4
46;2750.718;22012960.0;22056316.0;48100;378;4086.1592;27874862.0;28129712.0;108;4
47;2760.6763;22078516.0;22119334.0;48100;378;3987.4229;26864188.0;27102220.0;108;4
48;2779.225;22333294.0;22377914.0;48100;378;3877.4385;25890124.0;26111598.0;108;4
49;2788.4014;22426088.0;22471120.0;48100;378;3767.3867;24924480.0;25131972.0;108;4
