;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6308.284;93157704.0;93690220.0;48150;379;12584.411;281888800.0;281155420.0;108;4
1;6009.4565;84523144.0;84991976.0;48150;379;12582.012;281821470.0;281088300.0;108;4
2;5846.239;79845784.0;80280680.0;48150;379;12571.547;281514720.0;280782200.0;108;4
3;5699.7676;75851130.0;76256460.0;48150;379;12545.195;280723740.0;279992900.0;108;4
4;5558.03;72117544.0;72495350.0;48150;379;12494.532;279172770.0;278444700.0;108;4
5;5417.4116;68530936.0;68882520.0;48150;379;12411.678;276592060.0;275867700.0;108;4
6;5278.4414;65082730.0;65409524.0;48150;379;12289.262;272723100.0;272003300.0;108;4
7;5139.9097;61773580.0;62078444.0;48150;379;12120.531;267324060.0;266608930.0;108;4
8;5008.531;58689572.0;58973450.0;48150;379;11899.942;260221230.0;259510560.0;108;4
9;4877.0474;55739148.0;56003544.0;48150;379;11621.924;251268380.0;250561200.0;108;4
10;4744.8906;52838140.0;53085050.0;48150;379;11281.115;240371400.0;239665070.0;108;4
11;4617.342;50134640.0;50364970.0;48150;379;10872.897;227514900.0;226805490.0;108;4
12;4494.354;47573504.0;47788676.0;48150;379;10392.362;212766580.0;212052700.0;108;4
13;4376.4365;45175050.0;45376470.0;48150;379;9835.513;196270060.0;195551760.0;108;4
14;4262.0054;42907344.0;43096710.0;48150;379;9200.84;178335360.0;177614990.0;108;4
15;4148.2944;40783876.0;40961060.0;48150;379;8506.617;159472400.0;158752930.0;108;4
16;4034.6665;38764104.0;38932670.0;48150;379;7770.3633;140348800.0;139634500.0;108;4
17;3915.9038;36766060.0;36928184.0;48150;379;7009.125;121647900.0;120944536.0;108;4
18;3796.0913;34891656.0;35045684.0;48150;379;6256.702;104019580.0;103335630.0;108;4
19;3684.6003;33263562.0;33413138.0;48150;379;5503.708;87959064.0;87304870.0;108;4
20;3576.065;31745222.0;31889210.0;48150;379;4833.6523;73752880.0;73140824.0;108;4
21;3451.2942;30103938.0;30244930.0;48150;379;4245.6826;61603988.0;61047532.0;108;4
22;3334.184;28668218.0;28804420.0;48150;379;3798.4;51713216.0;51226530.0;108;4
23;3215.708;27213840.0;27341484.0;48150;379;3708.8708;44214228.0;43810156.0;108;4
24;3174.183;26669320.0;26793180.0;48150;379;3898.8445;39233420.0;38923304.0;108;4
25;3111.8484;25980730.0;26101552.0;48150;379;4192.5854;36722864.0;36513708.0;108;4
26;3049.7593;25229650.0;25344556.0;48150;379;4547.032;36444260.0;36339276.0;108;4
27;3012.1428;24796238.0;24909064.0;48150;379;4943.7236;37983260.0;37978080.0;108;4
28;3014.2751;24804420.0;24917310.0;48150;379;5307.7617;40805572.0;40890804.0;108;4
29;3030.9143;24986298.0;25100332.0;48150;379;5657.773;44121584.0;44274844.0;108;4
30;3029.0518;25001784.0;25116480.0;48150;379;5936.954;47001190.0;47195628.0;108;4
31;3019.0347;24909800.0;25024354.0;48150;379;6095.3086;48872160.0;49080644.0;108;4
32;3002.3752;24736978.0;24851014.0;48150;379;6133.637;49342930.0;49535544.0;108;4
33;2979.8232;24528526.0;24640508.0;48150;379;6056.7837;48396224.0;48561500.0;108;4
34;2952.8926;24250230.0;24360012.0;48150;379;5880.4346;46249240.0;46382612.0;108;4
35;2926.339;23967814.0;24075108.0;48150;379;5640.314;43438468.0;43526252.0;108;4
36;2900.2942;23655280.0;23759132.0;48150;379;5357.3584;40309160.0;40341150.0;108;4
37;2873.8423;23374548.0;23476398.0;48150;379;5048.7505;37067936.0;37042812.0;108;4
38;2854.358;23179480.0;23280178.0;48150;379;4739.2324;34038940.0;33957308.0;108;4
39;2831.59;22902062.0;22999946.0;48150;379;4439.654;31328044.0;31193182.0;108;4
40;2818.4163;22709862.0;22806398.0;48150;379;4167.5073;29070720.0;28880452.0;108;4
41;2808.3489;22591650.0;22688100.0;48150;379;3935.1895;27306640.0;27069418.0;108;4
42;2792.549;22336188.0;22433946.0;48150;379;3742.5503;25962736.0;25684798.0;108;4
43;2781.7227;22214686.0;22311868.0;48150;379;3605.6567;24990700.0;24676944.0;108;4
44;2782.9023;22170876.0;22266154.0;48150;379;3489.0828;24202800.0;23854908.0;108;4
45;2784.0771;22201512.0;22298300.0;48150;379;3395.9666;23566386.0;23188792.0;108;4
46;2793.3542;22358400.0;22456384.0;48150;379;3324.5322;23048808.0;22643896.0;108;4
47;2801.2097;22462162.0;22561786.0;48150;379;3263.1423;22599080.0;22174040.0;108;4
48;2808.277;22544382.0;22645548.0;48150;379;3203.1724;22159052.0;21716044.0;108;4
49;2805.5225;22491756.0;22592618.0;48150;379;3147.5376;21740700.0;21281692.0;108;4
