;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6386.5093;94380340.0;94668904.0;48150;378;14335.773;351155460.0;349073120.0;108;4
1;6085.1562;85810170.0;86058104.0;48150;378;14333.406;351080770.0;348998530.0;108;4
2;5925.4155;81262250.0;81488220.0;48150;378;14323.306;350752320.0;348670600.0;108;4
3;5779.6514;77227030.0;77433990.0;48150;378;14298.095;349918200.0;347837600.0;108;4
4;5641.7686;73558090.0;73747860.0;48150;378;14249.5625;348290850.0;346212130.0;108;4
5;5501.377;69969310.0;70142400.0;48150;378;14169.143;345562880.0;343486500.0;108;4
6;5366.355;66591376.0;66749252.0;48150;378;14048.816;341445400.0;339371620.0;108;4
7;5236.442;63385476.0;63528880.0;48150;378;13882.028;335706620.0;333634430.0;108;4
8;5106.3545;60286620.0;60416980.0;48150;378;13663.637;328169340.0;326096600.0;108;4
9;4977.8447;57329760.0;57447850.0;48150;378;13389.466;318700160.0;316623260.0;108;4
10;4852.915;54509784.0;54616704.0;48150;378;13055.3;307187230.0;305102430.0;108;4
11;4732.2407;51838510.0;51935228.0;48150;378;12655.598;293516930.0;291421400.0;108;4
12;4616.4375;49312296.0;49399412.0;48150;378;12188.412;277721660.0;275614700.0;108;4
13;4500.607;46874256.0;46953240.0;48150;378;11654.007;259974000.0;257855680.0;108;4
14;4383.1973;44485692.0;44557110.0;48150;378;11051.189;240547260.0;238422350.0;108;4
15;4271.92;42271556.0;42336496.0;48150;378;10387.459;219843680.0;217720210.0;108;4
16;4153.8643;40159436.0;40220148.0;48150;378;9674.743;198399620.0;196289980.0;108;4
17;4032.8528;38131976.0;38189532.0;48150;378;8931.808;176958980.0;174876340.0;108;4
18;3909.43;36190796.0;36245464.0;48150;378;8182.277;156166100.0;154125180.0;108;4
19;3787.0793;34299228.0;34350530.0;48150;378;7453.465;136607630.0;134624140.0;108;4
20;3655.1147;32431156.0;32478390.0;48150;378;6805.542;118515370.0;116610550.0;108;4
21;3525.4177;30735462.0;30776044.0;48150;378;6153.836;102005520.0;100206880.0;108;4
22;3406.3796;29260932.0;29294688.0;48150;378;5575.628;86904870.0;85250370.0;108;4
23;3302.3032;28055658.0;28083656.0;48150;378;5107.0913;73487920.0;72018390.0;108;4
24;3189.9285;26766412.0;26786456.0;48150;378;4818.834;62125484.0;60880972.0;108;4
25;3145.497;26256268.0;26273356.0;48150;378;4730.2734;53283904.0;52295810.0;108;4
26;3037.5254;25155058.0;25167058.0;48150;378;4829.3315;47312416.0;46595016.0;108;4
27;3001.4023;24672380.0;24679934.0;48150;378;5019.64;44054776.0;43608828.0;108;4
28;2985.3164;24478552.0;24486278.0;48150;378;5276.276;43217010.0;43030944.0;108;4
29;3001.3057;24618196.0;24628028.0;48150;378;5531.389;44224370.0;44262532.0;108;4
30;3020.8994;24840412.0;24852046.0;48150;378;5761.1255;46109370.0;46314788.0;108;4
31;3014.6;24780660.0;24791432.0;48150;378;5930.139;47787090.0;48086708.0;108;4
32;2996.6924;24633678.0;24643766.0;48150;378;5995.4155;48661104.0;48991736.0;108;4
33;2972.914;24437388.0;24446814.0;48150;378;5977.711;48437750.0;48739376.0;108;4
34;2941.628;24164920.0;24173798.0;48150;378;5873.6973;47214984.0;47436956.0;108;4
35;2914.8323;23946864.0;23953886.0;48150;378;5705.6055;45335480.0;45444780.0;108;4
36;2887.2996;23710134.0;23716854.0;48150;378;5490.4624;43130310.0;43114656.0;108;4
37;2858.1023;23449156.0;23455436.0;48150;378;5251.3296;40903850.0;40764920.0;108;4
38;2831.5579;23200464.0;23205460.0;48150;378;5006.249;38832036.0;38575630.0;108;4
39;2813.9617;23038630.0;23044090.0;48150;378;4785.217;37067560.0;36711390.0;108;4
40;2795.1091;22850738.0;22853714.0;48150;378;4631.266;35676544.0;35242550.0;108;4
41;2784.5334;22729188.0;22730862.0;48150;378;4522.7754;34642690.0;34151588.0;108;4
42;2778.6187;22654648.0;22657118.0;48150;378;4452.378;33893620.0;33360778.0;108;4
43;2775.9106;22576280.0;22578868.0;48150;378;4417.8354;33397964.0;32836984.0;108;4
44;2779.3843;22593668.0;22596322.0;48150;378;4396.2837;33031616.0;32450806.0;108;4
45;2769.462;22446938.0;22449494.0;48150;378;4376.7593;32798952.0;32200050.0;108;4
46;2768.6345;22425234.0;22429798.0;48150;378;4354.5986;32707448.0;32091674.0;108;4
47;2771.3489;22445294.0;22450386.0;48150;378;4317.237;32682844.0;32047778.0;108;4
48;2774.0132;22506804.0;22512386.0;48150;378;4255.763;32717652.0;32057904.0;108;4
49;2768.3337;22457248.0;22463340.0;48150;378;4173.7485;32813152.0;32125426.0;108;4
