;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;12859.653;302534340.0;303548740.0;4005;33;10979.766;210790030.0;216413660.0;91;4
1;12566.99;294071650.0;296075040.0;4005;33;10977.066;210722510.0;216345540.0;91;4
2;12180.871;283201000.0;286185500.0;4005;33;10963.059;210366300.0;215985620.0;91;4
3;11647.596;268188940.0;272255360.0;4005;33;10920.921;209299580.0;214907090.0;91;4
4;10988.711;249119180.0;254179020.0;4005;33;10825.208;206891970.0;212471920.0;91;4
